count,pos,description,pos_type,word
3,,,"nn","Karibe"
1,,,"nns","habitans"
1,,,"nns","Higuens"
1,,,"nn","payé"
1,,,"nn","carrefou"
20,,,"nn","RI"
1,,,"nn","comitte"
1,,,"nn","approximation"
15,,,"nn","soccer"
1,,,"nn","pluivieuse"
27,,,"nnp","AM"
1,,,"nn","moleya"
1,,,"nn","lon"
5,,,"nnp","Little"
1,,,"nn","tents…"
17,,,"nnp","May"
2,,,"nnp","Midi"
2,,,"nn","torcel"
1,,,"nn","linyon"
1,,,"nn","Yevette"
1,,,"nn","Makady"
9,,,"nn","effort"
4,,,"nn","pounou"
11,,,"nn","hurry"
2,,,"nn","Pleine"
3,,,"nns","cars"
1,,,"nn","Samedy"
12,,,"nn","Erice"
3,,,"nn","nye"
1,,,"nn","father\"
1,,,"nn","lundi"
5,,,"nnp","Christoph"
1,,,"nn","MEDS"
1,,,"nn","rifamoza"
1,,,"nn","wbezwen"
2,,,"nnp","Representative"
5,,,"nn","worker"
6,,,"nn","poumwen"
1,,,"nn","mare"
4,,,"nns","updates"
9,,,"nn","GENYEN"
1,,,"nn","placement"
1,,,"nn","@zildaarnsinmemo"
1,,,"nn","Nozil"
1,,,"nns","blocs"
20,,,"nn","rad"
1,,,"nns","motherinlaws"
1,,,"nn","Heart-"
9,,,"nnp","Simon"
4,,,"nn","Destin"
1,,,"nn","Cayo"
3,,,"nns","headquarters"
1,,,"nn","imanit*"
2,,,"nn","Nantaba"
1,,,"nn","Metreaux"
1,,,"nn","sagesse"
4,,,"nn","MAISON"
2,,,"nn","Akwatab"
1,,,"nn","Lazil"
1,,,"nn","VAl"
1,,,"nn","bedsheets"
1,,,"nn","Collapse"
3,,,"nn","Yoldine"
2,,,"nn","dirijan"
1,,,"nn","Tertulien"
1,,,"nn","president\"
1,,,"nn","notation"
2,,,"nnp","Mouvement"
3,,,"nns","mirebalais"
1,,,"nn","KLESIN"
1,,,"nn","Lavoix"
2,,,"nn","responsables"
2,,,"nn","Ladouceur"
1,,,"nn","croire"
1,,,"nn","midwey"
18,,,"nn","order"
1,,,"nn","OFATMA"
4,,,"nn","TITUS"
1,,,"nn","Niveau"
5,,,"nnp","Eddy"
1,,,"nn","interagency"
1,,,"nns","Potoprens"
2,,,"nn","maje"
4,,,"nns","boxes"
1,,,"nns","stations"
1,,,"nnp","Justin"
1,,,"nn","Cherchez"
2,,,"nnp","Walt"
3,,,"nn","owner"
8,,,"nn","reprezantan"
4,,,"nn","Rodolphe"
26,,,"nn","GRANGOU"
8,,,"nn","lumiere"
1,,,"nn","census"
1,,,"nn","lapez"
1,,,"nn","--follow"
1,,,"nn","commisariat&quot"
1,,,"nn","canap"
86,,,"nn","N"
1,,,"nn","sedations"
2,,,"nn","coord"
1,,,"nn","Anbasad"
6,,,"nn","madanm"
1,,,"nn","apmouri"
3,,,"nn","rochal*t"
1,,,"nn","urgency"
2,,,"nn","state"
2,,,"nn","airprt"
3,,,"nns","studies"
1,,,"nn","Remi"
2,,,"FW","Gracias"
2,,,"nn","Philipe"
3,,,"nn","girlfriend"
1,,,"nn","holiday"
1,,,"nn","dialasys"
1,,,"nn","Anacreon"
1,,,"nn","konpay"
2,,,"nn","Ulrick"
2,,,"nnp","Rev"
1,,,"nn","Goulard"
5,,,"nn","va"
1,,,"nn","estelot"
5,,,"nn","cocteau"
37,,,"nn","im"
1,,,"nns","fingers"
1,,,"nn","cicr"
1,,,"nns","thats"
1,,,"nnp","Kathleen"
1,,,"nn","Lorime"
1,,,"nn","adresse\&quot"
1,,,"nn","fashion"
2,,,"nn","tende"
1,,,"nn","shnaydine@yahoo"
1,,,"nn","smashed*"
1,,,"nns","attackers"
69,,,"nn","v"
1,,,"nn","butter"
1,,,"nn","popilasion"
2,,,"nn","Colege"
2,,,"nn","Paul\"
2,,,"nn","MBC"
1,,,"nn","FLOOD"
1,,,"nn","debka"
4,,,"nn","concentration"
3,,,"nnp","Anthony"
8,,,"nnp","Big"
3,,,"nn","kristof"
2,,,"nn","watson"
6,,,"nn","treatment"
4,,,"nns","waters"
1,,,"nn","domersant"
2,,,"nn","street]"
18,,,"nn","BESOIN"
3,,,"nn","infomasyon"
1,,,"nn","legitimeMwen"
1,,,"nnp","AIDS"
